,precision,recall,f1-score,support
Hız Sınırı (20km/s),0.23076923076923078,0.25,0.24,60.0
Hız Sınırı (30km/s),0.5558510638297872,0.5805555555555556,0.5679347826086957,720.0
Hız Sınırı (50km/s),0.4645776566757493,0.45466666666666666,0.45956873315363883,750.0
Hız Sınırı (60km/s),0.25,0.32222222222222224,0.2815533980582524,450.0
Hız Sınırı (70km/s),0.48783783783783785,0.546969696969697,0.5157142857142857,660.0
Hız Sınırı (80km/s),0.5,0.45714285714285713,0.47761194029850745,630.0
Hız Sınırı Sonu (80km/s),0.6779661016949152,0.5333333333333333,0.5970149253731343,150.0
Hız Sınırı (100km/s),0.6446540880503144,0.45555555555555555,0.5338541666666666,450.0
Hız Sınırı (120km/s),0.48111332007952284,0.5377777777777778,0.5078698845750262,450.0
Geçme Yasağı,0.6912181303116147,0.5083333333333333,0.5858343337334934,480.0
Kamyonlar İçin Geçme Yasağı,0.6804407713498623,0.7484848484848485,0.7128427128427128,660.0
Kavşak Önceliği,0.34977578475336324,0.37142857142857144,0.36027713625866054,420.0
Ana Yol,0.9074626865671642,0.881159420289855,0.8941176470588236,690.0
Yol Ver,0.8832020997375328,0.9347222222222222,0.9082321187584346,720.0
Dur,0.91796875,0.8703703703703703,0.8935361216730038,270.0
Giriş Yasak,0.9380952380952381,0.9380952380952381,0.9380952380952381,210.0
Kamyon Yasak,0.8739495798319328,0.6933333333333334,0.7732342007434945,150.0
Giriş Yok (Ters Yön),0.8125,0.8305555555555556,0.8214285714285714,360.0
Dikkat,0.525,0.4846153846153846,0.504,390.0
Sola Tehlikeli Viraj,0.046511627906976744,0.03333333333333333,0.038834951456310676,60.0
Sağa Tehlikeli Viraj,0.10588235294117647,0.1,0.10285714285714286,90.0
S Virajı,0.3013698630136986,0.24444444444444444,0.26993865030674846,90.0
Engebeli Yol,0.19130434782608696,0.18333333333333332,0.18723404255319148,120.0
Kaygan Yol,0.11392405063291139,0.12,0.11688311688311688,150.0
Sağdan Daralan Yol,0.5135135135135135,0.2111111111111111,0.2992125984251969,90.0
Yol Çalışması,0.29411764705882354,0.40625,0.34120734908136485,480.0
Trafik Işıkları,0.26288659793814434,0.2833333333333333,0.2727272727272727,180.0
Yaya Geçidi,0.023255813953488372,0.016666666666666666,0.019417475728155338,60.0
Okul Geçidi,0.325,0.17333333333333334,0.22608695652173913,150.0
Bisiklet Geçebilir,0.1791044776119403,0.13333333333333333,0.15286624203821655,90.0
Kar/Buz Riski,0.46296296296296297,0.16666666666666666,0.24509803921568626,150.0
Vahşi Hayvan Çıkabilir,0.6,0.6888888888888889,0.6413793103448275,270.0
Hız Sınırları Sonu,0.6984126984126984,0.7333333333333333,0.7154471544715447,60.0
Sağa Mecburi Yön,0.33636363636363636,0.3523809523809524,0.34418604651162793,210.0
Sola Mecburi Yön,0.3894736842105263,0.6166666666666667,0.4774193548387097,120.0
İleri Mecburi Yön,0.5283687943262412,0.382051282051282,0.44345238095238093,390.0
İleri veya Sağa Mecburi,0.38144329896907214,0.30833333333333335,0.34101382488479265,120.0
İleri veya Sola Mecburi,0.15384615384615385,0.06666666666666667,0.09302325581395349,60.0
Sağdan Gidiniz,0.5877777777777777,0.7666666666666667,0.6654088050314465,690.0
Soldan Gidiniz,0.6206896551724138,0.2,0.3025210084033613,90.0
Ada Etrafında Dönünüz,0.4691358024691358,0.4222222222222222,0.4444444444444444,90.0
Geçme Yasağı Sonu,0.32926829268292684,0.45,0.38028169014084506,60.0
Kamyon Geçme Yasağı Sonu,0.34146341463414637,0.3111111111111111,0.32558139534883723,90.0
accuracy,0.5466349960411718,0.5466349960411718,0.5466349960411718,0.5466349960411718
macro avg,0.46810369311182587,0.4364988051588152,0.44230796990747795,12630.0
weighted avg,0.5518353216839041,0.5466349960411718,0.54311465452777,12630.0
