,precision,recall,f1-score,support
Hız Sınırı (20km/s),0.9555555555555556,0.7166666666666667,0.819047619047619,60.0
Hız Sınırı (30km/s),0.9505494505494505,0.9611111111111111,0.9558011049723757,720.0
Hız Sınırı (50km/s),0.9249061326658323,0.9853333333333333,0.9541639767591995,750.0
Hız Sınırı (60km/s),0.958041958041958,0.9133333333333333,0.9351535836177475,450.0
Hız Sınırı (70km/s),0.9409158050221565,0.9651515151515152,0.9528795811518325,660.0
Hız Sınırı (80km/s),0.884437596302003,0.9111111111111111,0.8975762314308053,630.0
Hız Sınırı Sonu (80km/s),0.944,0.7866666666666666,0.8581818181818182,150.0
Hız Sınırı (100km/s),0.9563218390804598,0.9244444444444444,0.9401129943502825,450.0
Hız Sınırı (120km/s),0.9024896265560166,0.9666666666666667,0.9334763948497854,450.0
Geçme Yasağı,0.9494949494949495,0.9791666666666666,0.9641025641025641,480.0
Kamyonlar İçin Geçme Yasağı,0.9877112135176651,0.9742424242424242,0.9809305873379099,660.0
Kavşak Önceliği,0.9349112426035503,0.7523809523809524,0.8337730870712401,420.0
Ana Yol,0.9748892171344166,0.9565217391304348,0.9656181419166057,690.0
Yol Ver,0.9903314917127072,0.9958333333333333,0.9930747922437673,720.0
Dur,1.0,1.0,1.0,270.0
Giriş Yasak,0.9626168224299065,0.9809523809523809,0.9716981132075472,210.0
Kamyon Yasak,0.9933774834437086,1.0,0.9966777408637874,150.0
Giriş Yok (Ters Yön),1.0,0.9861111111111112,0.993006993006993,360.0
Dikkat,0.9528619528619529,0.7256410256410256,0.8238719068413392,390.0
Sola Tehlikeli Viraj,0.9365079365079365,0.9833333333333333,0.959349593495935,60.0
Sağa Tehlikeli Viraj,0.8165137614678899,0.9888888888888889,0.8944723618090452,90.0
S Virajı,0.9591836734693877,0.5222222222222223,0.6762589928057554,90.0
Engebeli Yol,0.855072463768116,0.9833333333333333,0.9147286821705426,120.0
Kaygan Yol,0.9363057324840764,0.98,0.9576547231270358,150.0
Sağdan Daralan Yol,0.9538461538461539,0.6888888888888889,0.8,90.0
Yol Çalışması,0.9733333333333334,0.9125,0.9419354838709677,480.0
Trafik Işıkları,0.8967391304347826,0.9166666666666666,0.9065934065934066,180.0
Yaya Geçidi,0.21428571428571427,0.75,0.3333333333333333,60.0
Okul Geçidi,0.9852941176470589,0.8933333333333333,0.9370629370629371,150.0
Bisiklet Geçebilir,0.7310924369747899,0.9666666666666667,0.8325358851674641,90.0
Kar/Buz Riski,0.7762237762237763,0.74,0.757679180887372,150.0
Vahşi Hayvan Çıkabilir,0.955719557195572,0.9592592592592593,0.9574861367837338,270.0
Hız Sınırları Sonu,0.9836065573770492,1.0,0.9917355371900827,60.0
Sağa Mecburi Yön,0.9812206572769953,0.9952380952380953,0.9881796690307328,210.0
Sola Mecburi Yön,0.9916666666666667,0.9916666666666667,0.9916666666666667,120.0
İleri Mecburi Yön,0.9922279792746114,0.982051282051282,0.9871134020618557,390.0
İleri veya Sağa Mecburi,0.990909090909091,0.9083333333333333,0.9478260869565217,120.0
İleri veya Sola Mecburi,0.9827586206896551,0.95,0.9661016949152542,60.0
Sağdan Gidiniz,0.9743223965763196,0.9898550724637681,0.9820273184759166,690.0
Soldan Gidiniz,0.9775280898876404,0.9666666666666667,0.9720670391061452,90.0
Ada Etrafında Dönünüz,0.6666666666666666,0.9555555555555556,0.7853881278538812,90.0
Geçme Yasağı Sonu,0.9736842105263158,0.6166666666666667,0.7551020408163265,60.0
Kamyon Geçme Yasağı Sonu,1.0,1.0,1.0,90.0
accuracy,0.9355502771179731,0.9355502771179731,0.9355502771179731,0.9355502771179731
macro avg,0.9225144432665555,0.9098246607715769,0.9071033844449797,12630.0
weighted avg,0.9464472410870891,0.9355502771179731,0.9378530056213275,12630.0
